order_id,q_standard,q_small,q_box,demand,creation_time,committed_completion_time,load_time,unload_time,pickup_id,delivery_id
50001,0,2,0,1.0,00:00:05,04:00:05,240,240,3fbffad04fa44c75926557097f03a15c,d3118417a6aa44c488d1758be16ad2dd
310002,1,0,0,1.0,00:00:31,04:00:31,240,240,f99babdb60984c91ab485b8590630839,856895eda4fa41159b4aed0b71355cae
310003,1,0,0,1.0,00:00:31,04:00:31,240,240,14174a048a0147be86981428ec8df189,9c615d0af79a4cbfa86dc0bbf46a7870
470004,1,0,0,1.0,00:00:47,04:00:47,240,240,b854aac6ac2345789fbb3d155321216a,c0979c05f2c44e6fa7c5e42ae9aa977e
480005,0,1,0,0.5,00:00:48,04:00:48,120,120,f7d977891ba84a7491024709803f38cc,6c9f8a62eff74e589c081de647f8eb3e
1000006,1,0,0,1.0,00:01:00,04:01:00,240,240,c4e793f5dc5a4026b54f5b9925de1196,ffd0ed8719f54294a452ed3e3b6a986c
1230007,0,0,2,0.5,00:01:23,04:01:23,120,120,390904f3744145508d8c9f8361a23e72,e15ed46435514dda8bd6a420ab3e5d0b
1320008,4,2,0,5.0,00:01:32,04:01:32,1200,1200,3ad35edbd14b4dae8e5808d0b7e82a1a,d48e48b0b026419990c5ed5080c5da9d
3360009,0,5,0,2.5,00:03:36,04:03:36,600,600,00e5630fbb3c4ff4b753ac1e1c15d561,7fe14b93f0f04ee7a994ef5b2c1fdb72
4260010,0,0,1,0.25,00:04:26,04:04:26,60,60,1053bf90a2c645c3a596b31bbc84f535,43a4215be06543c1985c1e9460dec52d
5410011,0,0,1,0.25,00:05:41,04:05:41,60,60,85a5e0d0db8746a8bb82de9c72fb4cfe,9316c24ab8b9471fa75f9da67d0b7db2
6280012,1,0,0,1.0,00:06:28,04:06:28,240,240,fa91b55160e245edb77a213135cccd27,c0979c05f2c44e6fa7c5e42ae9aa977e
6280013,0,0,2,0.5,00:06:28,04:06:28,120,120,ffd0ed8719f54294a452ed3e3b6a986c,f5264a9b32c94706a8bc981ab961952a
6590014,5,0,0,5.0,00:06:59,04:06:59,1200,1200,1053bf90a2c645c3a596b31bbc84f535,cdcbb2960996475fb11a199d4226fc15
7150015,0,0,1,0.25,00:07:15,04:07:15,60,60,d1f8de642d734931be957336196d996d,9829a9e1f6874f28b33b57a7a42bb49f
8020016,0,1,0,0.5,00:08:02,04:08:02,120,120,9c615d0af79a4cbfa86dc0bbf46a7870,b8f0e72c209a459991fd3cb61c72b333
8280017,0,0,1,0.25,00:08:28,04:08:28,60,60,c4e793f5dc5a4026b54f5b9925de1196,80cc1546ba7645e3964fd017e4af3299
8460018,0,0,1,0.25,00:08:46,04:08:46,60,60,434ba7a94f63491a8cc6d6b913f54218,b4258aba02fe457889bff20abcd3c10e
8460019,1,0,0,1.0,00:08:46,04:08:46,240,240,d66f217d91dd4b43a32fb4984c74845d,8479328003a8427ca68b7600f0ac7045
8490020,1,0,0,1.0,00:08:49,04:08:49,240,240,b854aac6ac2345789fbb3d155321216a,5e2e9efa5ade4984bb18af66028bc0c8
9150021,1,0,0,1.0,00:09:15,04:09:15,240,240,b6dd694ae05541dba369a2a759d2c2b9,ffd0ed8719f54294a452ed3e3b6a986c
11400022,0,0,2,0.5,00:11:40,04:11:40,120,120,3ad35edbd14b4dae8e5808d0b7e82a1a,3fbffad04fa44c75926557097f03a15c
12270023,2,6,0,5.0,00:12:27,04:12:27,1200,1200,1394dce6e0b24fc8ad3d0a807e490829,3fbffad04fa44c75926557097f03a15c
15350024,0,1,0,0.5,00:15:35,04:15:35,120,120,681162833e354d329df2b7aff119f015,4291ef6305424140bbfaffff64fe7547
15450025,1,0,0,1.0,00:15:45,04:15:45,240,240,3556641d92e044d3a0111c4df4d1fd17,4a85fbdd319140dd83f55766289d365f
16220026,0,0,1,0.25,00:16:22,04:16:22,60,60,aa61dc034d9240e9950b027ba204f5f0,263739de27764618a7e699260cdfdd31
16480027,0,0,1,0.25,00:16:48,04:16:48,60,60,00e5630fbb3c4ff4b753ac1e1c15d561,effccdca39e848faae86cc17c34e722b
16590028,0,1,0,0.5,00:16:59,04:16:59,120,120,a678f7137f7e4debbc6bc4679cd2c1b4,76d691d6054f42d48f27e16806928020
17140029,0,0,1,0.25,00:17:14,04:17:14,60,60,43a4215be06543c1985c1e9460dec52d,390904f3744145508d8c9f8361a23e72
17510030,0,1,0,0.5,00:17:51,04:17:51,120,120,ee187c7680604a9fa1f3d3837610c11a,9b02d5056bcf48abba07259bb3ca9396
18000031,0,0,1,0.25,00:18:00,04:18:00,60,60,1394dce6e0b24fc8ad3d0a807e490829,852c1621c9c44d029b33d71c1274caeb
18190032,9,0,0,9.0,00:18:19,04:18:19,2160,2160,62cbdc8fbbc5452da72e83705b4e19af,6380b13f12984a08a4994fb4c126215b
19040033,1,2,0,2.0,00:19:04,04:19:04,480,480,c0979c05f2c44e6fa7c5e42ae9aa977e,d3118417a6aa44c488d1758be16ad2dd
20000034,1,0,0,1.0,00:20:00,04:20:00,240,240,9316c24ab8b9471fa75f9da67d0b7db2,c174cfe9fcbf4f1b82095941a49f7bd9
20420035,1,0,0,1.0,00:20:42,04:20:42,240,240,e15ed46435514dda8bd6a420ab3e5d0b,24e7da27483f42109e5fd5db774a8168
20420036,0,1,0,0.5,00:20:42,04:20:42,120,120,1654624e52e84a93b56d016abb6f9042,fa366fc87a124d32926daa5bb093129f
20420037,0,0,1,0.25,00:20:42,04:20:42,60,60,61a68b6b728b4413ba6a0f695091579c,24e7da27483f42109e5fd5db774a8168
21060038,0,0,5,1.25,00:21:06,04:21:06,300,300,6c9f8a62eff74e589c081de647f8eb3e,c174cfe9fcbf4f1b82095941a49f7bd9
21060039,0,0,1,0.25,00:21:06,04:21:06,60,60,c5819bc71f70420e8a28ac7c158dc22f,32ab2049f3fb437881ff3912470d7840
21110040,0,0,1,0.25,00:21:11,04:21:11,60,60,77ec676ff9e348298044721c0fc2b690,9e692abf321146bebb9917f3ada777d4
22240041,0,0,3,0.75,00:22:24,04:22:24,180,180,99f05d5e71104b04838cff91b231a002,c5819bc71f70420e8a28ac7c158dc22f
22280042,1,0,0,1.0,00:22:28,04:22:28,240,240,32ab2049f3fb437881ff3912470d7840,fc583f43dd594e1fbc333052a2e5fb30
24560043,1,0,0,1.0,00:24:56,04:24:56,240,240,f5118fa189b742a897beec2f77de9b27,852c1621c9c44d029b33d71c1274caeb
25130044,2,2,0,3.0,00:25:13,04:25:13,720,720,6999d8c076aa42f3b42c6c96dc2ccc4c,13f358cee72045fc8e52fc834957788a
25380045,3,0,0,3.0,00:25:38,04:25:38,720,720,ffaae12a3c054da585696a96e880cf64,449b516ba21b4270ac1ea1b13a89514c
26280046,1,0,0,1.0,00:26:28,04:26:28,240,240,7fb0acc4e2634440ba26a7ebc0040dc2,6ac617af0ea04e9bbbc3b206d86d73a6
27170047,0,0,3,0.75,00:27:17,04:27:17,180,180,e3495e0ede9a4ff3a63b4501c17d1fcd,7ddb093d3d5d4b0397575e9f8b718386
29150048,1,2,0,2.0,00:29:15,04:29:15,480,480,9f1a09c368584eba9e7f10a53d55caae,80cc1546ba7645e3964fd017e4af3299
30010049,2,0,0,2.0,00:30:01,04:30:01,480,480,5ec55e3f537d448d95144cec1cc37f54,e3495e0ede9a4ff3a63b4501c17d1fcd
30230050,0,0,1,0.25,00:30:23,04:30:23,60,60,b36cdc41430843efbf674ab80369d77b,6fbe6d91a5f04b359e02bde29d349128
30390051,0,1,0,0.5,00:30:39,04:30:39,120,120,2b8215c5f313492cbba6d8898216524c,7d511f7ba322430687691bf9cfcc96b4
31560052,0,0,1,0.25,00:31:56,04:31:56,60,60,4e6e1dec486340a0b4fbc7e1eeed99ab,76d691d6054f42d48f27e16806928020
31560053,0,0,1,0.25,00:31:56,04:31:56,60,60,3556641d92e044d3a0111c4df4d1fd17,e723c30f335b4391ad73fbccdfb67d1e
32580054,0,0,2,0.5,00:32:58,04:32:58,120,120,6ac617af0ea04e9bbbc3b206d86d73a6,b6dd694ae05541dba369a2a759d2c2b9
33160055,2,2,0,3.0,00:33:16,04:33:16,720,720,e2d5093fbe36431f8986ddb0e1c586be,32ab2049f3fb437881ff3912470d7840
